,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,credit_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,Total Wealth,social_class,loan_type,credit_rating,loan_term_type
861,1,Not Graduate,No,7600000,24600000,12,810,1300000,10500000,30300000,5200000,Approved,54900000,High Middle Class,Platinum,Excellent,Long Term
862,2,Not Graduate,No,4800000,10600000,8,588,3700000,5200000,15000000,4500000,Approved,33200000,Low Middle Class,Silver,Poor,Long Term
863,5,Graduate,No,4200000,9200000,12,870,3200000,2400000,12300000,5700000,Approved,27800000,Low Middle Class,Silver,Excellent,Long Term
864,0,Not Graduate,Yes,7200000,20700000,10,733,15600000,12000000,19200000,9900000,Approved,63900000,High Class,Gold,Good,Long Term
865,5,Not Graduate,Yes,6400000,20300000,16,348,10000000,10900000,20400000,6900000,Rejected,54600000,High Middle Class,Gold,Very Poor,Long Term
866,0,Not Graduate,Yes,8900000,23000000,12,741,5600000,11200000,27100000,7100000,Approved,59900000,High Class,Gold,Good,Long Term
867,3,Not Graduate,No,5100000,14500000,12,306,700000,8800000,11600000,2900000,Rejected,29100000,Low Middle Class,Silver,Very Poor,Long Term
868,2,Graduate,Yes,6300000,19500000,18,428,15900000,7200000,19900000,6500000,Rejected,55800000,High Middle Class,Gold,Very Poor,Long Term
869,3,Graduate,No,6600000,22100000,4,455,3800000,3000000,25100000,7400000,Approved,45900000,High Middle Class,Gold,Very Poor,Intermedate Term
870,1,Not Graduate,Yes,4800000,14700000,2,356,7100000,8800000,13400000,5500000,Approved,39600000,High Middle Class,Gold,Very Poor,Short Term
871,0,Graduate,No,200000,400000,4,594,500000,0,400000,100000,Approved,1200000,Low Class,Bronze,Poor,Intermedate Term
872,0,Not Graduate,Yes,7500000,25800000,18,844,9100000,600000,18600000,6500000,Approved,42300000,High Middle Class,Platinum,Excellent,Long Term
873,4,Graduate,No,9000000,34700000,4,771,4800000,9500000,34100000,7700000,Approved,65100000,High Class,Platinum,Good,Intermedate Term
874,2,Graduate,No,5400000,12500000,4,622,14400000,2900000,11800000,5400000,Approved,39900000,High Middle Class,Silver,Fair,Intermedate Term
875,1,Not Graduate,Yes,1700000,4500000,20,480,200000,600000,5400000,1900000,Rejected,9800000,Low Class,Bronze,Very Poor,Long Term
876,4,Graduate,No,4300000,11500000,20,337,11100000,6000000,17000000,5200000,Rejected,43600000,High Middle Class,Silver,Very Poor,Long Term
877,1,Graduate,No,5200000,11200000,6,698,14100000,7600000,18800000,2700000,Approved,48400000,High Middle Class,Silver,Good,Intermedate Term
878,4,Not Graduate,No,4400000,17000000,18,302,1000000,2100000,14000000,5700000,Rejected,27200000,Low Middle Class,Gold,Very Poor,Long Term
879,1,Not Graduate,Yes,3900000,7800000,14,349,11200000,500000,11800000,3600000,Rejected,31000000,Low Middle Class,Silver,Very Poor,Long Term
880,0,Graduate,No,1100000,3300000,10,482,2800000,300000,2900000,1600000,Rejected,8700000,Low Class,Bronze,Very Poor,Long Term
881,2,Graduate,No,2500000,8200000,10,429,1500000,4100000,5900000,2200000,Rejected,16200000,Low Middle Class,Silver,Very Poor,Long Term
882,4,Graduate,No,500000,1300000,8,471,500000,300000,1500000,700000,Rejected,3500000,Low Class,Bronze,Very Poor,Long Term
883,0,Graduate,Yes,9000000,32400000,10,895,16800000,5800000,20700000,9500000,Approved,61800000,High Class,Platinum,Excellent,Long Term
884,1,Not Graduate,Yes,5100000,20300000,18,757,11800000,3400000,13400000,3200000,Approved,36900000,High Middle Class,Gold,Good,Long Term
885,2,Graduate,No,5200000,13500000,2,777,7000000,5200000,15500000,6100000,Approved,39000000,High Middle Class,Silver,Good,Short Term
886,5,Not Graduate,Yes,4400000,8900000,4,761,8100000,1000000,14200000,3000000,Approved,30700000,Low Middle Class,Silver,Good,Intermedate Term
887,1,Graduate,No,1900000,4200000,12,821,5200000,1500000,5000000,2700000,Approved,16300000,Low Middle Class,Bronze,Excellent,Long Term
888,4,Not Graduate,Yes,9200000,26500000,6,662,1000000,400000,26900000,5300000,Approved,42800000,High Middle Class,Platinum,Good,Intermedate Term
889,2,Not Graduate,Yes,4800000,16500000,10,350,2000000,6500000,11400000,2900000,Rejected,27600000,Low Middle Class,Gold,Very Poor,Long Term
890,4,Not Graduate,No,4900000,10700000,20,321,1200000,400000,11100000,6500000,Rejected,24100000,Low Middle Class,Silver,Very Poor,Long Term
891,3,Graduate,Yes,4800000,10100000,4,368,9100000,5100000,16500000,3500000,Rejected,39000000,High Middle Class,Silver,Very Poor,Intermedate Term
892,4,Graduate,No,9300000,24900000,14,455,27600000,4700000,35100000,13900000,Rejected,90600000,High Class,Platinum,Very Poor,Long Term
893,5,Not Graduate,Yes,7500000,24600000,8,744,1600000,3600000,16700000,9300000,Approved,38700000,High Middle Class,Platinum,Good,Long Term
894,1,Graduate,No,5900000,16800000,4,806,11200000,9700000,22800000,7100000,Approved,56700000,High Middle Class,Gold,Excellent,Intermedate Term
895,0,Graduate,No,9400000,27900000,6,456,21400000,18500000,35600000,7800000,Rejected,92700000,High Class,Platinum,Very Poor,Intermedate Term
896,5,Graduate,No,5300000,13400000,8,719,1600000,200000,11400000,5300000,Approved,23800000,Low Middle Class,Silver,Good,Long Term
897,4,Graduate,No,3700000,9000000,18,668,7800000,1600000,13400000,3100000,Approved,29600000,Low Middle Class,Silver,Good,Long Term
898,0,Graduate,Yes,2500000,5800000,18,494,5100000,4400000,8500000,2300000,Rejected,22800000,Low Middle Class,Silver,Very Poor,Long Term
899,4,Not Graduate,No,2800000,10800000,2,841,700000,2600000,7100000,4100000,Approved,17300000,Low Middle Class,Silver,Excellent,Short Term
900,0,Graduate,Yes,5400000,21400000,8,721,8200000,6400000,16700000,7400000,Approved,44100000,High Middle Class,Gold,Good,Long Term
901,5,Graduate,No,3100000,9400000,10,414,200000,5300000,8000000,2800000,Rejected,19400000,Low Middle Class,Silver,Very Poor,Long Term
902,5,Not Graduate,No,4800000,15500000,10,812,9500000,1500000,17800000,3500000,Approved,37100000,High Middle Class,Gold,Excellent,Long Term
903,1,Not Graduate,No,8800000,17500000,20,832,1800000,3600000,24000000,7400000,Approved,45600000,High Middle Class,Gold,Excellent,Long Term
904,2,Graduate,No,4100000,14900000,12,571,-100000,5200000,13000000,3400000,Approved,25600000,Low Middle Class,Gold,Poor,Long Term
905,5,Not Graduate,No,9700000,37000000,14,459,28700000,17900000,22800000,5600000,Rejected,84700000,High Class,Platinum,Very Poor,Long Term
906,2,Graduate,Yes,6400000,24100000,6,592,2500000,6300000,20200000,6000000,Approved,41400000,High Middle Class,Platinum,Poor,Intermedate Term
907,5,Graduate,No,3400000,13100000,20,527,900000,4500000,8600000,4000000,Rejected,21400000,Low Middle Class,Silver,Poor,Long Term
908,4,Not Graduate,No,3500000,10200000,12,333,7600000,6400000,8100000,3400000,Rejected,29000000,Low Middle Class,Silver,Very Poor,Long Term
909,3,Not Graduate,No,3200000,10000000,18,532,3300000,100000,9800000,2100000,Rejected,18500000,Low Middle Class,Silver,Poor,Long Term
910,2,Graduate,Yes,4900000,13100000,18,754,8200000,3300000,16500000,7200000,Approved,40100000,High Middle Class,Silver,Good,Long Term
911,0,Graduate,Yes,1300000,4800000,4,835,500000,100000,3300000,800000,Rejected,6000000,Low Class,Bronze,Excellent,Intermedate Term
912,4,Graduate,No,2500000,5400000,10,592,3400000,1500000,9900000,2900000,Approved,20200000,Low Middle Class,Silver,Poor,Long Term
913,0,Graduate,No,7500000,27300000,20,553,11600000,2800000,26200000,6100000,Approved,54200000,High Middle Class,Platinum,Poor,Long Term
914,2,Graduate,No,700000,2000000,8,806,1900000,1100000,2200000,400000,Approved,6300000,Low Class,Bronze,Excellent,Long Term
915,4,Graduate,Yes,8200000,28500000,2,378,6800000,11200000,26400000,11500000,Approved,64100000,High Class,Platinum,Very Poor,Short Term
916,1,Not Graduate,No,6900000,26200000,4,534,14500000,11900000,14900000,9400000,Approved,57600000,High Middle Class,Platinum,Poor,Intermedate Term
917,1,Not Graduate,Yes,1500000,5900000,16,400,4200000,2400000,4800000,1500000,Rejected,14400000,Low Middle Class,Silver,Very Poor,Long Term
918,3,Graduate,No,6300000,18300000,18,543,1800000,9400000,17700000,3500000,Rejected,38700000,High Middle Class,Gold,Poor,Long Term
919,0,Not Graduate,Yes,8800000,25600000,10,715,25300000,2500000,34900000,8600000,Approved,80100000,High Class,Platinum,Good,Long Term
920,4,Graduate,Yes,8900000,20700000,6,684,1100000,9200000,20400000,6700000,Approved,46300000,High Middle Class,Gold,Good,Intermedate Term
921,3,Not Graduate,Yes,2100000,6100000,8,346,5500000,600000,4500000,2900000,Rejected,15600000,Low Middle Class,Silver,Very Poor,Long Term
922,1,Graduate,Yes,9200000,29200000,6,669,9900000,12900000,23400000,11700000,Approved,67100000,High Class,Platinum,Good,Intermedate Term
923,2,Not Graduate,No,3600000,8000000,12,566,10500000,3000000,8900000,2700000,Approved,28700000,Low Middle Class,Silver,Poor,Long Term
924,0,Not Graduate,Yes,8600000,23600000,2,361,25800000,5300000,24700000,7500000,Rejected,71900000,High Class,Platinum,Very Poor,Short Term
925,5,Graduate,No,3000000,8000000,6,333,3200000,400000,8200000,2200000,Rejected,17000000,Low Middle Class,Silver,Very Poor,Intermedate Term
926,3,Not Graduate,Yes,5200000,16300000,8,335,9500000,7000000,13600000,7300000,Rejected,42600000,High Middle Class,Gold,Very Poor,Long Term
927,3,Graduate,Yes,7200000,20400000,10,558,0,13200000,27200000,10600000,Approved,58200000,High Middle Class,Gold,Poor,Long Term
928,1,Not Graduate,Yes,4000000,15600000,12,436,10400000,2800000,14800000,3200000,Rejected,35200000,Low Middle Class,Gold,Very Poor,Long Term
929,1,Not Graduate,No,2400000,5200000,2,371,6100000,3100000,8500000,1400000,Rejected,21500000,Low Middle Class,Silver,Very Poor,Short Term
930,2,Not Graduate,Yes,5500000,18400000,10,515,6800000,4400000,18500000,4100000,Rejected,39300000,High Middle Class,Gold,Poor,Long Term
931,0,Not Graduate,Yes,9000000,24300000,10,599,12900000,3400000,26900000,6400000,Approved,58600000,High Middle Class,Platinum,Poor,Long Term
932,0,Not Graduate,Yes,7900000,24000000,20,728,18600000,15600000,21800000,7400000,Approved,71300000,High Class,Platinum,Good,Long Term
933,2,Not Graduate,Yes,6200000,21600000,20,679,18600000,2500000,24500000,9100000,Approved,60900000,High Class,Gold,Good,Long Term
934,3,Graduate,Yes,7900000,29200000,4,399,23200000,5500000,30200000,6900000,Approved,73700000,High Class,Platinum,Very Poor,Intermedate Term
935,3,Not Graduate,No,1200000,4500000,6,819,1400000,1100000,4400000,900000,Approved,9000000,Low Class,Bronze,Excellent,Intermedate Term
936,1,Graduate,No,4700000,11700000,6,308,11800000,1100000,15100000,3700000,Rejected,36400000,Low Middle Class,Silver,Very Poor,Intermedate Term
937,5,Graduate,Yes,5900000,15600000,2,730,12600000,4700000,15900000,5900000,Approved,45000000,High Middle Class,Gold,Good,Short Term
938,4,Not Graduate,Yes,1400000,5100000,14,312,4000000,1000000,3200000,1400000,Rejected,11000000,Low Class,Silver,Very Poor,Long Term
939,3,Not Graduate,Yes,4700000,12800000,16,740,2200000,8600000,11700000,6100000,Approved,33300000,Low Middle Class,Silver,Good,Long Term
940,5,Graduate,Yes,7600000,20000000,10,522,21500000,1400000,20400000,4300000,Rejected,55200000,High Middle Class,Gold,Poor,Long Term
941,4,Graduate,No,7200000,16900000,4,702,15900000,7100000,22000000,9600000,Approved,61800000,High Class,Gold,Good,Intermedate Term
942,4,Not Graduate,Yes,1400000,4300000,16,447,3600000,1200000,5300000,1000000,Rejected,12500000,Low Middle Class,Bronze,Very Poor,Long Term
943,5,Graduate,No,1400000,2900000,4,829,800000,600000,5400000,1600000,Approved,9800000,Low Class,Bronze,Excellent,Intermedate Term
944,2,Graduate,No,7900000,18500000,18,727,20200000,12400000,19600000,7100000,Approved,67200000,High Class,Gold,Good,Long Term
945,5,Not Graduate,Yes,7600000,18700000,14,509,8500000,8500000,22200000,3700000,Rejected,50500000,High Middle Class,Gold,Poor,Long Term
946,3,Graduate,Yes,9600000,34200000,2,745,2500000,2000000,33000000,6700000,Approved,53800000,High Middle Class,Platinum,Good,Short Term
947,1,Not Graduate,No,2300000,6600000,18,513,4600000,900000,9000000,1600000,Rejected,18400000,Low Middle Class,Silver,Poor,Long Term
948,2,Not Graduate,No,8100000,18500000,6,372,19100000,10200000,31000000,7900000,Rejected,76300000,High Class,Gold,Very Poor,Intermedate Term
949,2,Graduate,Yes,300000,700000,4,411,600000,0,1200000,100000,Rejected,2200000,Low Class,Bronze,Very Poor,Intermedate Term
950,4,Graduate,No,4700000,10800000,20,495,11300000,6800000,17000000,4500000,Rejected,44300000,High Middle Class,Silver,Very Poor,Long Term
951,5,Not Graduate,No,1100000,2500000,4,827,2400000,1000000,4100000,600000,Approved,9200000,Low Class,Bronze,Excellent,Intermedate Term
952,4,Not Graduate,No,8600000,25100000,6,820,14400000,5000000,26000000,8300000,Approved,62300000,High Class,Platinum,Excellent,Intermedate Term
953,5,Graduate,Yes,8700000,28100000,10,660,25500000,800000,25900000,10100000,Approved,71000000,High Class,Platinum,Fair,Long Term
954,0,Not Graduate,No,2200000,8600000,4,563,900000,1000000,4400000,2800000,Approved,11300000,Low Class,Silver,Poor,Intermedate Term
955,1,Not Graduate,Yes,500000,1400000,10,883,900000,0,1700000,300000,Approved,3400000,Low Class,Bronze,Excellent,Long Term
956,0,Not Graduate,Yes,9100000,22000000,12,387,25300000,15600000,31700000,7000000,Rejected,88700000,High Class,Gold,Very Poor,Long Term
957,1,Graduate,No,2200000,8700000,12,613,500000,1800000,5700000,2400000,Approved,12600000,Low Middle Class,Silver,Fair,Long Term
958,0,Not Graduate,Yes,2200000,8000000,14,335,2800000,3700000,6900000,2900000,Rejected,18500000,Low Middle Class,Silver,Very Poor,Long Term
959,1,Graduate,Yes,9600000,34500000,2,795,9500000,900000,32000000,9300000,Approved,61300000,High Class,Platinum,Excellent,Short Term
960,1,Graduate,Yes,6500000,13900000,8,369,9600000,300000,17200000,8300000,Rejected,41900000,High Middle Class,Silver,Very Poor,Long Term
961,4,Graduate,Yes,2400000,7400000,18,888,2700000,1600000,7600000,3200000,Approved,17500000,Low Middle Class,Silver,Excellent,Long Term
962,4,Not Graduate,No,5500000,12300000,6,742,12900000,2700000,19800000,4300000,Approved,45200000,High Middle Class,Silver,Good,Intermedate Term
963,0,Graduate,No,5000000,14400000,4,874,3000000,9300000,14100000,3900000,Approved,35300000,Low Middle Class,Silver,Excellent,Intermedate Term
964,1,Graduate,No,2700000,8100000,16,691,2000000,3600000,8100000,2100000,Approved,18500000,Low Middle Class,Silver,Good,Long Term
965,3,Not Graduate,Yes,8500000,30300000,12,762,12700000,3700000,20000000,4200000,Approved,49100000,High Middle Class,Platinum,Good,Long Term
966,1,Graduate,No,4400000,10700000,18,324,2200000,3300000,12700000,5400000,Rejected,28000000,Low Middle Class,Silver,Very Poor,Long Term
967,4,Not Graduate,No,500000,1800000,20,777,900000,300000,1300000,200000,Approved,3200000,Low Class,Bronze,Good,Long Term
968,0,Graduate,No,8300000,21400000,2,662,6100000,12300000,24500000,10200000,Approved,61400000,High Class,Gold,Good,Short Term
969,2,Not Graduate,Yes,6000000,13000000,12,462,2100000,2500000,14600000,5600000,Rejected,30800000,Low Middle Class,Silver,Very Poor,Long Term
970,3,Not Graduate,Yes,4000000,10400000,14,609,2100000,6900000,11700000,4600000,Approved,29300000,Low Middle Class,Silver,Fair,Long Term
971,5,Graduate,Yes,4400000,11700000,20,590,900000,2700000,15500000,2300000,Approved,25800000,Low Middle Class,Silver,Poor,Long Term
972,3,Graduate,Yes,4400000,15800000,18,779,7200000,5400000,14900000,3600000,Approved,35500000,Low Middle Class,Gold,Good,Long Term
973,2,Graduate,Yes,1900000,5000000,14,641,1000000,900000,5500000,2400000,Approved,11700000,Low Middle Class,Silver,Fair,Long Term
974,0,Graduate,Yes,5000000,18400000,12,752,14600000,4000000,10500000,6500000,Approved,40600000,High Middle Class,Gold,Good,Long Term
975,0,Graduate,No,8000000,23700000,10,305,22200000,11600000,17200000,12000000,Rejected,71000000,High Class,Platinum,Very Poor,Long Term
976,4,Not Graduate,No,8200000,20700000,10,546,10800000,7000000,25000000,10600000,Rejected,61600000,High Class,Gold,Poor,Long Term
977,2,Graduate,No,7000000,24200000,8,833,13700000,4100000,26100000,9100000,Approved,60000000,High Class,Platinum,Excellent,Long Term
978,2,Not Graduate,No,2400000,8800000,18,421,3200000,1500000,6700000,1400000,Rejected,15200000,Low Middle Class,Silver,Very Poor,Long Term
979,5,Graduate,No,6600000,18800000,4,639,3200000,1100000,25100000,4300000,Approved,40300000,High Middle Class,Gold,Fair,Intermedate Term
980,3,Graduate,No,3200000,6900000,20,735,1500000,3700000,9200000,3100000,Approved,20700000,Low Middle Class,Silver,Good,Long Term
981,0,Not Graduate,Yes,2600000,5400000,2,377,100000,4900000,6100000,2700000,Rejected,16400000,Low Middle Class,Silver,Very Poor,Short Term
982,3,Not Graduate,No,6900000,15600000,20,310,4500000,3600000,20400000,4800000,Rejected,40200000,High Middle Class,Gold,Very Poor,Long Term
983,4,Graduate,No,4800000,14000000,2,695,11300000,1700000,15400000,4600000,Approved,37800000,High Middle Class,Silver,Good,Short Term
984,1,Not Graduate,Yes,300000,1200000,4,355,700000,300000,800000,200000,Approved,2300000,Low Class,Bronze,Very Poor,Intermedate Term
985,1,Not Graduate,Yes,4300000,14100000,12,525,2100000,1100000,14100000,5500000,Rejected,27100000,Low Middle Class,Silver,Poor,Long Term
986,5,Not Graduate,No,700000,2400000,20,330,1300000,700000,2500000,500000,Rejected,5700000,Low Class,Bronze,Very Poor,Long Term
987,5,Graduate,No,9400000,25800000,14,625,28200000,15400000,30800000,11100000,Approved,94900000,High Class,Platinum,Fair,Long Term
988,3,Not Graduate,Yes,800000,2900000,10,644,600000,500000,2900000,400000,Approved,5200000,Low Class,Bronze,Fair,Long Term
989,5,Not Graduate,No,4400000,14900000,4,865,8200000,6200000,14900000,3500000,Approved,37200000,High Middle Class,Gold,Excellent,Intermedate Term
990,1,Graduate,Yes,4700000,14800000,6,661,8500000,6000000,13600000,6400000,Approved,39200000,High Middle Class,Gold,Good,Intermedate Term
991,2,Not Graduate,No,2300000,5000000,8,884,1400000,1700000,6100000,1500000,Approved,13000000,Low Middle Class,Silver,Excellent,Long Term
992,5,Graduate,Yes,8500000,26700000,10,803,500000,16600000,24400000,9600000,Approved,59600000,High Class,Platinum,Excellent,Long Term
993,2,Graduate,No,7600000,28300000,12,800,19700000,14800000,15600000,7800000,Approved,65500000,High Class,Platinum,Excellent,Long Term
994,2,Graduate,No,3200000,12600000,18,796,6200000,3500000,9600000,2000000,Approved,24500000,Low Middle Class,Silver,Excellent,Long Term
995,4,Not Graduate,No,2400000,5000000,4,716,1500000,2800000,6900000,1400000,Approved,15000000,Low Middle Class,Silver,Good,Intermedate Term
996,0,Graduate,Yes,500000,1100000,18,479,1500000,500000,1800000,600000,Rejected,4900000,Low Class,Bronze,Very Poor,Long Term
997,3,Not Graduate,Yes,8500000,28300000,2,810,25200000,4300000,18500000,10700000,Approved,67200000,High Class,Platinum,Excellent,Short Term
998,0,Graduate,Yes,8900000,20900000,18,568,18800000,700000,32700000,5300000,Approved,66400000,High Class,Gold,Poor,Long Term
999,0,Graduate,No,2800000,5600000,8,842,0,1300000,6100000,1900000,Approved,12100000,Low Middle Class,Silver,Excellent,Long Term
1000,3,Not Graduate,Yes,2900000,7000000,4,806,5700000,5600000,5900000,3000000,Approved,23100000,Low Middle Class,Silver,Excellent,Intermedate Term
1001,1,Graduate,Yes,4900000,17700000,8,722,9200000,7300000,16400000,3000000,Approved,40800000,High Middle Class,Gold,Good,Long Term
1002,5,Not Graduate,No,9600000,20700000,14,442,25800000,9800000,31800000,8200000,Rejected,85200000,High Class,Gold,Very Poor,Long Term
1003,3,Graduate,Yes,3300000,9800000,6,360,4500000,600000,11000000,4400000,Rejected,23800000,Low Middle Class,Silver,Very Poor,Intermedate Term
1004,3,Not Graduate,No,2800000,5900000,4,461,1600000,400000,8900000,2800000,Rejected,16500000,Low Middle Class,Silver,Very Poor,Intermedate Term
1005,2,Graduate,No,7800000,22200000,10,735,9700000,4600000,23000000,6900000,Approved,52000000,High Middle Class,Gold,Good,Long Term
1006,4,Graduate,Yes,2500000,8400000,12,761,6300000,1300000,8400000,1600000,Approved,20100000,Low Middle Class,Silver,Good,Long Term
1007,0,Graduate,No,4400000,10600000,20,653,6800000,4600000,16800000,5400000,Approved,38000000,High Middle Class,Silver,Fair,Long Term
1008,0,Not Graduate,No,7900000,30800000,4,726,5000000,14600000,23800000,5500000,Approved,56800000,High Middle Class,Platinum,Good,Intermedate Term
1009,1,Graduate,No,8900000,22600000,18,617,8400000,15500000,27900000,11700000,Approved,72400000,High Class,Gold,Fair,Long Term
1010,0,Graduate,No,5600000,13400000,2,460,3400000,4100000,14800000,4100000,Rejected,32000000,Low Middle Class,Silver,Very Poor,Short Term
1011,1,Not Graduate,No,1400000,3300000,8,306,3200000,800000,2700000,800000,Rejected,8900000,Low Class,Bronze,Very Poor,Long Term
1012,5,Graduate,Yes,500000,1400000,4,471,500000,100000,1300000,300000,Rejected,2700000,Low Class,Bronze,Very Poor,Intermedate Term
1013,1,Graduate,Yes,5100000,15300000,4,628,6900000,3300000,17600000,2700000,Approved,35600000,Low Middle Class,Gold,Fair,Intermedate Term
1014,3,Graduate,No,9800000,25600000,10,404,24400000,6700000,37000000,11500000,Rejected,89400000,High Class,Platinum,Very Poor,Long Term
1015,2,Graduate,Yes,8600000,21600000,16,804,15400000,300000,26800000,7100000,Approved,58200000,High Middle Class,Gold,Excellent,Long Term
1016,3,Not Graduate,No,1600000,3900000,20,804,900000,2500000,3200000,800000,Approved,9000000,Low Class,Bronze,Excellent,Long Term
1017,1,Not Graduate,Yes,2500000,6700000,2,502,3400000,2600000,9400000,1400000,Rejected,19300000,Low Middle Class,Silver,Poor,Short Term
1018,0,Graduate,No,9500000,22600000,6,861,24700000,13200000,29000000,5600000,Approved,82000000,High Class,Gold,Excellent,Intermedate Term
1019,2,Not Graduate,Yes,3000000,7800000,14,555,6600000,2700000,9600000,1700000,Approved,23600000,Low Middle Class,Silver,Poor,Long Term
1020,0,Not Graduate,No,5100000,13600000,18,351,1700000,3700000,14400000,7600000,Rejected,32500000,Low Middle Class,Silver,Very Poor,Long Term
1021,2,Not Graduate,Yes,7600000,23600000,6,358,20200000,2900000,22100000,10900000,Rejected,63700000,High Class,Platinum,Very Poor,Intermedate Term
1022,5,Graduate,No,8800000,18800000,14,836,17300000,10100000,32700000,5400000,Approved,74300000,High Class,Gold,Excellent,Long Term
1023,4,Not Graduate,Yes,1100000,2900000,4,554,2800000,1000000,4100000,1600000,Approved,10600000,Low Class,Bronze,Poor,Intermedate Term
1024,3,Graduate,No,8700000,30500000,2,443,11800000,1800000,24600000,8100000,Approved,55000000,High Middle Class,Platinum,Very Poor,Short Term
1025,5,Not Graduate,No,6100000,23600000,4,725,17400000,5100000,15600000,4800000,Approved,49000000,High Middle Class,Platinum,Good,Intermedate Term
1026,2,Not Graduate,Yes,1900000,7000000,14,818,4800000,3500000,4500000,2100000,Approved,16800000,Low Middle Class,Silver,Excellent,Long Term
1027,1,Not Graduate,No,9900000,38700000,6,670,19400000,12600000,35800000,6500000,Approved,84200000,High Class,Platinum,Good,Intermedate Term
1028,0,Graduate,No,5800000,21100000,6,414,7900000,2400000,16000000,5600000,Rejected,37700000,High Middle Class,Gold,Very Poor,Intermedate Term
1029,2,Not Graduate,Yes,9500000,37000000,8,887,21800000,18300000,19200000,11700000,Approved,80500000,High Class,Platinum,Excellent,Long Term
1030,3,Graduate,Yes,7900000,26600000,12,409,17100000,1400000,22500000,8700000,Rejected,57600000,High Middle Class,Platinum,Very Poor,Long Term
1031,1,Not Graduate,Yes,1300000,4500000,14,679,2700000,2100000,3700000,1600000,Approved,11400000,Low Class,Bronze,Good,Long Term
1032,4,Graduate,Yes,700000,2600000,18,478,600000,600000,2100000,300000,Rejected,4300000,Low Class,Bronze,Very Poor,Long Term
1033,3,Graduate,No,600000,1200000,2,752,1100000,500000,2300000,700000,Approved,5200000,Low Class,Bronze,Good,Short Term
1034,0,Graduate,No,9400000,33000000,4,616,15400000,5000000,25100000,7800000,Approved,62700000,High Class,Platinum,Fair,Intermedate Term
1035,2,Not Graduate,Yes,3800000,12500000,14,842,3700000,6700000,14600000,5300000,Approved,34100000,Low Middle Class,Silver,Excellent,Long Term
1036,3,Graduate,Yes,7800000,26300000,20,840,1200000,11300000,24100000,5300000,Approved,49700000,High Middle Class,Platinum,Excellent,Long Term
1037,3,Graduate,Yes,7800000,27700000,6,430,2000000,8000000,26100000,5300000,Rejected,49200000,High Middle Class,Platinum,Very Poor,Intermedate Term
1038,4,Not Graduate,No,2700000,7000000,4,351,1100000,2300000,8300000,2700000,Rejected,17100000,Low Middle Class,Silver,Very Poor,Intermedate Term
1039,5,Not Graduate,No,600000,2300000,4,347,0,0,1900000,200000,Rejected,2700000,Low Class,Bronze,Very Poor,Intermedate Term
1040,3,Not Graduate,Yes,8000000,28800000,10,576,18800000,7500000,16300000,11900000,Approved,62500000,High Class,Platinum,Poor,Long Term
1041,0,Not Graduate,Yes,4000000,11000000,8,799,4400000,6100000,14700000,4200000,Approved,33400000,Low Middle Class,Silver,Excellent,Long Term
1042,1,Not Graduate,Yes,3300000,10800000,2,550,6000000,3800000,11000000,4700000,Approved,28800000,Low Middle Class,Silver,Poor,Short Term
1043,2,Graduate,No,5800000,13300000,4,878,8400000,5400000,18600000,4500000,Approved,42700000,High Middle Class,Silver,Excellent,Intermedate Term
1044,3,Graduate,Yes,2400000,4800000,12,895,6800000,300000,7300000,3300000,Approved,20100000,Low Middle Class,Bronze,Excellent,Long Term
1045,4,Not Graduate,No,7600000,29700000,6,603,3200000,2900000,27800000,11000000,Approved,52500000,High Middle Class,Platinum,Fair,Intermedate Term
1046,2,Not Graduate,Yes,2500000,6900000,12,325,5800000,1600000,6400000,3600000,Rejected,19900000,Low Middle Class,Silver,Very Poor,Long Term
1047,2,Graduate,No,3300000,11800000,4,393,5700000,3700000,6800000,2600000,Approved,22100000,Low Middle Class,Silver,Very Poor,Intermedate Term
1048,3,Graduate,No,9800000,30300000,2,612,10700000,4600000,32100000,5600000,Approved,62800000,High Class,Platinum,Fair,Short Term
1049,0,Graduate,Yes,1000000,3800000,8,553,2500000,1000000,2100000,1300000,Approved,7900000,Low Class,Bronze,Poor,Long Term
1050,0,Not Graduate,Yes,2500000,8800000,14,389,7300000,1400000,8500000,3600000,Rejected,23300000,Low Middle Class,Silver,Very Poor,Long Term
1051,0,Graduate,No,1900000,6800000,4,782,100000,3400000,4900000,2400000,Approved,12700000,Low Middle Class,Silver,Excellent,Intermedate Term
1052,3,Graduate,No,3100000,8500000,12,493,8700000,5100000,12000000,2000000,Rejected,30900000,Low Middle Class,Silver,Very Poor,Long Term
1053,5,Graduate,Yes,6000000,11900000,2,629,2500000,0,19200000,4200000,Approved,31900000,Low Middle Class,Silver,Fair,Short Term
1054,5,Not Graduate,No,6500000,21600000,10,419,1600000,10900000,22300000,6600000,Rejected,47900000,High Middle Class,Gold,Very Poor,Long Term
1055,2,Not Graduate,Yes,5900000,15800000,2,444,14300000,4300000,20300000,5500000,Rejected,50300000,High Middle Class,Gold,Very Poor,Short Term
1056,5,Not Graduate,Yes,6500000,15800000,16,301,9200000,9900000,17400000,7100000,Rejected,50100000,High Middle Class,Gold,Very Poor,Long Term
1057,0,Graduate,Yes,3800000,11200000,20,479,1100000,6400000,12000000,5400000,Rejected,28700000,Low Middle Class,Silver,Very Poor,Long Term
